[2020-01-29 11:54:32] Linux 4.15.0-76-generic (lc-server.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/29/20 	_x86_64_	(16 CPU)
[2020-01-29 11:54:33] 
[2020-01-29 11:54:33] 11:54:32      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2020-01-29 11:56:53] 11:56:53    20001     22897    867.00      0.00 1745848  548816   4.47  node /users/dyv
[2020-01-29 11:56:54] 11:56:54    20001     22897    650.00      0.00 1747384  550480   4.48  node /users/dyv
[2020-01-29 11:56:55] 11:56:55    20001     22897      0.00      0.00 1747384  550480   4.48  node /users/dyv
[2020-01-29 11:56:56] 11:56:56    20001     22897     23.00      0.00 1747896  550744   4.48  node /users/dyv
[2020-01-29 11:56:57] 11:56:57    20001     22897    289.00      0.00 1747384  551288   4.49  node /users/dyv
[2020-01-29 11:56:58] 11:56:58    20001     22897     43.00      0.00 1747384  551288   4.49  node /users/dyv
[2020-01-29 11:56:59] 11:56:59    20001     22897    535.00      0.00 1747384  553136   4.50  node /users/dyv
[2020-01-29 11:57:00] 11:57:00    20001     22897  27170.00      0.00 1751480  559332   4.55  node /users/dyv
[2020-01-29 11:57:01] 11:57:01    20001     22897   3712.00      0.00 1742776  557984   4.54  node /users/dyv
[2020-01-29 11:57:02] 11:57:02    20001     22897      2.00      0.00 1742776  557984   4.54  node /users/dyv
[2020-01-29 11:57:03] 11:57:03    20001     22897      0.00      0.00 1742776  557984   4.54  node /users/dyv
[2020-01-29 11:57:04] 11:57:04    20001     22897      3.00      0.00 1742776  557984   4.54  node /users/dyv
[2020-01-29 11:57:05] 11:57:05    20001     22897      1.00      0.00 1742776  557984   4.54  node /users/dyv
[2020-01-29 11:57:06] 11:57:06    20001     22897      2.00      0.00 1742776  557984   4.54  node /users/dyv
[2020-01-29 11:57:07] 11:57:07    20001     22897     60.00      0.00 1742776  557984   4.54  node /users/dyv
[2020-01-29 11:57:08] 11:57:08    20001     22897      3.00      0.00 1742776  557984   4.54  node /users/dyv
[2020-01-29 11:57:09] 11:57:09    20001     22897     10.00      0.00 1742776  558040   4.54  node /users/dyv
[2020-01-29 11:57:10] 11:57:10    20001     22897      9.00      0.00 1742776  558040   4.54  node /users/dyv
[2020-01-29 11:57:11] 11:57:11    20001     22897   1264.00      0.00 1743800  544760   4.43  node /users/dyv
[2020-01-29 11:57:12] 11:57:12    20001     22897    482.00      0.00 1743800  545420   4.44  node /users/dyv
[2020-01-29 11:57:13] 11:57:13    20001     22897   1251.00      0.00 1747384  549776   4.48  node /users/dyv
[2020-01-29 11:57:14] 11:57:14    20001     22897    171.00      0.00 1747384  550020   4.48  node /users/dyv
