[2020-01-29 14:02:20] Linux 4.15.0-76-generic (lc-server.bench11.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/29/20 	_x86_64_	(16 CPU)
[2020-01-29 14:02:21] 
[2020-01-29 14:02:21] 14:02:20      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
[2020-01-29 14:04:26] 14:04:26    20001     22897    144.00      0.00 1687788  506020   4.12  node /users/dyv
[2020-01-29 14:04:27] 14:04:27    20001     22897    129.00      0.00 1687788  506548   4.12  node /users/dyv
[2020-01-29 14:04:28] 14:04:28    20001     22897    153.00      0.00 1687788  507340   4.13  node /users/dyv
[2020-01-29 14:04:29] 14:04:29    20001     22897    131.00      0.00 1687788  507868   4.13  node /users/dyv
[2020-01-29 14:04:30] 14:04:30    20001     22897    847.00      0.00 1687788  510996   4.16  node /users/dyv
[2020-01-29 14:04:31] 14:04:31    20001     22897    268.00      0.00 1687788  512316   4.17  node /users/dyv
[2020-01-29 14:04:32] 14:04:32    20001     22897      3.00      0.00 1687788  512316   4.17  node /users/dyv
[2020-01-29 14:04:33] 14:04:33    20001     22897      1.00      0.00 1687788  512316   4.17  node /users/dyv
[2020-01-29 14:04:34] 14:04:34    20001     22897      0.00      0.00 1687788  512316   4.17  node /users/dyv
[2020-01-29 14:04:35] 14:04:35    20001     22897    295.00      0.00 1688300  489888   3.99  node /users/dyv
[2020-01-29 14:04:36] 14:04:36    20001     22897     23.00      0.00 1688812  489888   3.99  node /users/dyv
[2020-01-29 14:04:37] 14:04:37    20001     22897     12.00      0.00 1688812  490024   3.99  node /users/dyv
[2020-01-29 14:04:38] 14:04:38    20001     22897      0.00      0.00 1688812  490024   3.99  node /users/dyv
[2020-01-29 14:04:39] 14:04:39    20001     22897     75.00      0.00 1688812  490288   3.99  node /users/dyv
[2020-01-29 14:04:40] 14:04:40    20001     22897    139.00      0.00 1688812  490816   4.00  node /users/dyv
[2020-01-29 14:04:41] 14:04:41    20001     22897     36.00      0.00 1688812  490816   4.00  node /users/dyv
[2020-01-29 14:04:42] 14:04:42    20001     22897     30.00      0.00 1688812  491080   4.00  node /users/dyv
[2020-01-29 14:04:43] 14:04:43    20001     22897    139.00      0.00 1688812  491608   4.00  node /users/dyv
